"Carimbo de data/hora","Ano que estudo:","1.	Quem é Zé Gotinha?","2.	Quem é Darlan Rosa?","3.	Como eram as propagandas de vacina antes da criação do Zé Gotinha?","4.	Quando o Zé Gotinha foi criado?","5.	Quando nasceu, Zé Gotinha era diferente do que é hoje. Descreva as características do Zé Gotinha quando nasceu. Em seguida, descreva como ele é atualmente.","6.	Por que Zé Gotinha aparecia no comercial chorando?","7.	Como foi feita a escolha do nome Zé Gotinha?","8.	Por que os organizadores entenderam que o nome deveria ser Zé Gotinha?","9.	Quem levou o prêmio pela escolha do nome?","10.	Qual era a ideia principal da campanha do Zé Gotinha?","11.	Por que vacina é um assunto sério?","12.	Por que não é preciso ter medo de tomar vacina?","13.	O que é poliomielite?","14.	Levante hipótese do porquê de o concurso ter sido feito por meio de cartas.","15.	O que há no personagem que incentiva as crianças a se vacinarem?","16.	O que o criador do Zé Gotinha faz atualmente?","17.	Você deve ter percebido que há vários trechos, ao longo desta reportagem, que estão entre aspas. Para que serve esse recurso nesse texto?","18.	No seguinte fragmento há um fato e uma opinião. Sublinhe o fato e circule a opinião. Darlan virou até nome de prédio residencial na cidade. “Aqui, sou uma pessoa ilustre”, brinca.","19 -Qual é o sentido das palavras em destaque?","20 -Explique o que significa “morrer de medo” neste fragmento.","21 - A imagem mostra o primeiro esboço de Zé Gotinha, isto é, o desenho inicial do personagem, com seus traços gerais. De onde a reportagem selecionou esse desenho?"
"2021/07/08 8:51:18 PM GMT+1","5º ano","um personagem criado com o proposito de incentivar as crianças a tomarem vacina","o criador do Ze Gotinha","tristes, que incentivava as crianças a nao tomarem a vacina ","ele foi criado em 1986","ele era tristes no comercial so ficava no canto chorando,mas, hoje ele e feliz e incentiva as crianças e os traços sao melhores que antes ","pois ele estava triste por nao ter um nome","foi feita a escolha  com um concurso ","pois muitas pessoas sugeriram este nome","um menino do distrito federal ","incentivar as crianças a tomarem a vacina ","pois ela previne varias doenças e virus","pois elas nos protegem de virus e doenças ","uma doença que trazia paralizia nas crianças","pois era mais facil ","a animaçao ","atualmente ele trabalha como escritor","serve para explicar ","sublinhado:Darlan virou ate nome de predio residencial na cidade, circular:aqui sou uma pessoa ilustre","barreira dos medos: os medos impedindo; deslanchou:caminhou ","ter muito medo ","do criador do desenho "
"2021/07/08 9:00:17 PM GMT+1","5º ano","O mascote da vacina.","Quem inventou o personagem da vacina.","As propagandas antes do zé gotinha eram assustadoras.","1986.","Era um boneco com duas gotinhas de pólio. Atualmente ele tem braços e pernas","Pois ainda não tinha um nome.","Por meio de um concurso que convidou os brasileiros a mandar sugestões.","Porque os organizadores receberam mais de 10 mil cartas falando que o nome deveria ser Zé Gotinha.","Um menino do Distrito Federal.","Para as crianças não tiverem mais medo da vacina.","Porque ela proteje das doenças","Porque a vacina e para o nosso bem.","Doença que causa paralisia infantil.","Porque era o meio de correspondência da época","Porque ele transmite força e coragem.","Trabalha como escultor em Brasília.","Esse recurso serve para transcrever as falas.","Sublinhado: Darlan virou até nome de prédio residencial na cidade. Circulado: ""Aqui, sou uma pessoa ilustre.""","O medo acabou é a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:00:18 PM GMT+1","5º ano","Zé gotinha foi o mascote da vacina.","Darlan Rosa foi o criador do Zé gotinha.","As propagandas eram assustadoras antes do Zé gotinha.","O Zé gotinha foi criado em 1986.","Zé gotinha era um boneco com duas gotinhas de pólio. Hoje ele tem braços e pernas.","Ele aparecia chorando pois não tinha um nome. ","A escolha foi feita através de um concurso.","Porque foram enviadas mais de dez mil cartas com o nome Zé gotinha.","Um menino do Distrito Federa levou o prêmio.","A ideia era que alguém forte passasse coragem para quem tinha que se vacinar. ","Porque a vacina é para o nosso bem, para nos proteger.","Porque a vacina nos protege.","É uma doença que causa paralisia infantil.","Porque era o meio de correspondência da época.","Porque o personagem é forte e passa coragem para as crianças.","Atualmente ele trabalha como escultor.","Esse recurso serve para transcrever falas.","Sublinhado: Darlan virou até nome de prédio residencial na cidade.
Circulado: ''Aqui, sou uma pessoa ilustre''.","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:00:27 PM GMT+1","5º ano","Zé Gotinha foi o mascote da vacina.","Darlan Rosa foi o criador do Zé Gotinha.","As propagandas eram assustadoras antes do Zé Gotinha.","O Zé Gotinha foi criado em 1986.","Zé Gotinha era um boneco com duas gotinhas de pólio. Hoje ele tem braços e pernas.","Ele aparecia chorando pois não tinha um nome.","A escolha foi feita através de um concurso.","Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.","Um menino do Distrito Federal levou o prêmio.","A ideia principal era que alguém forte passasse coragem para quem tinha que se vacinar.","Porque a vacina é para o nosso bem, para nos proteger.","Porque a vacina nos protege.","É uma doença que causa paralisia infantil.","Porque era o meio de correspondência da época.","Porque o personagem é forte e passa coragem para a crianças.","Atualmente ele trabalha como escultor.","Esse recurso serve para transcrever falas.","Sublinhado: Darlan virou até nome de prédio residencial na cidade.
Circulado: ""Aqui, sou uma pessoa ilustre"".","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:00:32 PM GMT+1","5º ano","Zé Gotinha foi o mascote da vacina.","Darlan Rosa foi o criador de Zé Gotinha.","As propagandas eram assustadoras antes do Zé Gotinha.","Ele foi criando em 1986.","Quando ele nasceu era um boneco com duas gotinhas de pólio, atualmente ele tem braços e pernas.","Ele chorava porque não tinha um nome.","Através de um concurso.","Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.","Foi o menino do Distrito Federal.","Incentivar as crianças a se vacinar sem medo.","Porque a vacina é para o nosso bem.","Porque a vacina nos protege.","Uma doença que causa paralisia infantil.","Porque era o meio de correspondência da época.","Porque ele transmite força e coragem.","Atualmente ele trabalha como escultor.","Esse recuso serve para transcrever as falas.","Sublinhado : Darlan virou até nome de prédio residencial da cidade.
Circulado : ""Aqui, sou uma pessoa ilustre"".","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo.","Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:00:41 PM GMT+1","5º ano","Zé Gotinha foi o mascote da vacina.","Darlan foi o criador do Zé Gotinha.","As propagandas foram assustadora antes do Zé Gotinha.","Zé Gotinha foi criado em 1986.","Zé Gotinha é um boneco com duas pólio. E atualmente tem braços e pernas.","Porque ele não tinha um nome.","Pois ele é uma gota de vacina.","Os organizadores por que foram enviada mais de dez mil cartas com o nome de Zé Gotinha.","Foi um menino do Distrito Federal.","A ideia principal era passar coragem as crianças tomarem vacinas.","Para o nosso bem.","Porque a vacina nos protege.","A doença paralisa as crianças.","Porque é enviado por meio de correspondência.","porque ele transmite força e coragem.","E atualmente trabalha como um escultor.","Para marcar a fala das pessoas do texto.","sublinhado:  Darlan virou até nome de prédio residencial na cidade.","O medo acabou e a campanha foi um sucesso.","Ter muito medo.","Foi selecionado o arquivo de Darlan Rosa, ser o criador.   "
"2021/07/08 9:00:51 PM GMT+1","5º ano","Zé Gotinha foi o mascote da vacina.","Darlan Rosa foi a criadora do Zé Gotinha.","As pessoas falavam que iria tomar a vacina, mas não na hora, elas tinham medo de tomar. Então o Zé Gotinha foi criado para colocar coragens.","Zé Gotinha foi criado em 1986","Era um boneco com duas pólio. Hoje ele tem braços e pernas.","Ele não tinha nome ainda.","Ele é uma gota de vacina.","Os organizadores receberam mais de 10 mil cartas com o nome ''Zé Gotinha.''","Foi um garoto do Distrito Federal.","A ideia era passar coragem para as crianças a vacinar sem medo.","Para dar proteção contra doenças.","Porque protege das doenças.","Doença que paralisa as crianças.","Porque é enviado por meio de correspondência na época.","Porque ele da força e coragem.","Ele é um escultor.","Para transcrever as falas.","Sublinhando: Darlan até virou nome de prédio na cidade.","O medo acabou para as pessoas e a campanha foi um sucesso.","Ficar com muito medo.","Foi selecionado do arquivo pessoal de Darlan Rosa, ser o criador.







































"
"2021/07/08 9:00:58 PM GMT+1","5º ano","O mascote  da vacina .","Ele foi o criador do zé gotinha ","As propagandas eram assustadoras antes do zé gotinha . ","Ele foi criado no ano de 1986 .","Era um boneco de duas gotinhas de pólio . Hoje ele tem braços  e pernas .","Ele chorava porque não tinha nome .","Através de um concurso .","Os organizadores  entenderam que o nome deveria ser  zé gotinha pois  receberam  mais de 10 mil cartas do nome zé gotinha.","Foi um menino do Distrito Federal .","Para incentivar a vacinação .","Porque a vacina e para o nosso bem .","Porque a vacina é para nos proteger.","Uma doença que causa paralisia infantil .","Porque é meio da correspondência da época .","Força e coragem.","Atualmente ele trabalha como escultor .","Esse recurso serve para transcrever as falas .","sublinhado: ""Darlan virou até nome de prédio residencial na cidade "". Circulado :""Aqui sou uma pessoa ilustre"".","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo .","Foi selecionado do arquivo pessoal Darlan Rosa,seu criador . "
"2021/07/08 9:01:34 PM GMT+1","5º ano","O mascote da vacina.","Ele foi o criador do zé gotinha.","As propagandas eram assustadoras antes do zé gotinha.","Ele foi criado no ano de 1986.","Era um um boneco de duas gotinhas de pólio. Hoje ele tem braços e pernas . ","Ele chorava porque não tinha nome.","Através de um concurso.","Os organizadores entenderam que o nome deveria ser zé gotinha pois receberam mais de dez mil  cartas com o nome zé gotinha .","Um menino do Distrito Federal.","Incentivar a vacinação.","Porque a vacina é para o nosso bem.","Porque a vacina é para nos proteger.","Uma doença que causa paralisia infantil.","Porque era o meio de correspondência da época.","Força e coragem.","Atualmente ele trabalha como escultor.","Esse recurso serve para transcrever as falas.","Sublinhado: ""Darlan virou até nome de prédio residencial na cidade"". Circulado: ""Aqui sou uma pessoa ilustre"".","O medo acabou e a campanha foi um sucesso.","Significa ter muito medo .","Foi selecionado do artigo pessoal Darlan Rosa ,seu criador."
