"";"id";"texto_id";"estudante_id";"pergunta_id";"Pergunta";"Evidência";"Resposta";"Nível da rubrica";"predito"
"1";"1";1;1;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"um personagem criado com o proposito de incentivar as crianças a tomarem vacina";"3";"3"
"2";"22";1;2;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O mascote da vacina.";"2";"2"
"3";"43";1;3;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha foi o mascote da vacina.";"2";"2"
"4";"64";1;4;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi o mascote da vacina.";"2";"2"
"5";"85";1;5;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi o mascote da vacina.";"2";"2"
"6";"106";1;6;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi o mascote da vacina.";"2";"2"
"7";"127";1;7;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi o mascote da vacina.";"2";"2"
"8";"148";1;8;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O mascote  da vacina .";"2";"2"
"9";"169";1;9;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O mascote da vacina.";"2";"2"
"10";"190";1;10;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé gotinha e o mascote da vacina.";"2";"2"
"11";"211";1;11;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O mascote da vacina.";"2";"2"
"12";"232";1;12;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"O mascote da vacina.";"2";"2"
"13";"253";1;13;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Foi o mascote da vacina.";"2";"2"
"14";"274";1;14;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha e o mascote da vacina.";"2";"2"
"15";"295";1;15;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha era o mascote da vacina.";"2";"2"
"16";"316";1;16;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"o  mascote da vacina";"2";"2"
"17";"337";1;17;1;"Quem é Zé Gotinha?";"Relacionar informações presentes no texto - Determinar as intenções do autor";"Zé Gotinha foi o mascote da vacina.";"2";"2"
