"";"Carimbo.de.data.hora";"Ano.que.estudo.";"ID";"Pergunta";"Resposta";"erros"
"1";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X1  Quem é Zé Gotinha ";"um personagem criado com o proposito de incentivar as crianças a tomarem vacina";NA
"2";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X2  Quem é Darlan Rosa ";"o criador do Ze Gotinha";NA
"3";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X3  Como eram as propagandas de vacina antes da criação do Zé Gotinha ";"tristes, que incentivava as crianças a nao tomarem a vacina ";NA
"4";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X4  Quando o Zé Gotinha foi criado ";"ele foi criado em 1986";NA
"5";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X5  Quando nasceu  Zé Gotinha era diferente do que é hoje  Descreva as características do Zé Gotinha quando nasceu  Em seguida  descreva como ele é atualmente ";"ele era tristes no comercial so ficava no canto chorando,mas, hoje ele e feliz e incentiva as crianças e os traços sao melhores que antes ";NA
"6";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X6  Por que Zé Gotinha aparecia no comercial chorando ";"pois ele estava triste por nao ter um nome";NA
"7";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X7  Como foi feita a escolha do nome Zé Gotinha ";"foi feita a escolha  com um concurso ";NA
"8";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X8  Por que os organizadores entenderam que o nome deveria ser Zé Gotinha ";"pois muitas pessoas sugeriram este nome";NA
"9";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X9  Quem levou o prêmio pela escolha do nome ";"um menino do distrito federal ";NA
"10";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X10  Qual era a ideia principal da campanha do Zé Gotinha ";"incentivar as crianças a tomarem a vacina ";NA
"11";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X11  Por que vacina é um assunto sério ";"pois ela previne varias doenças e virus";NA
"12";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X12  Por que não é preciso ter medo de tomar vacina ";"pois elas nos protegem de virus e doenças ";NA
"13";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X13  O que é poliomielite ";"uma doença que trazia paralizia nas crianças";"paralizia"
"14";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X14  Levante hipótese do porquê de o concurso ter sido feito por meio de cartas ";"pois era mais facil ";NA
"15";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X15  O que há no personagem que incentiva as crianças a se vacinarem ";"a animaçao ";NA
"16";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X16  O que o criador do Zé Gotinha faz atualmente ";"atualmente ele trabalha como escritor";NA
"17";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X17  Você deve ter percebido que há vários trechos  ao longo desta reportagem  que estão entre aspas  Para que serve esse recurso nesse texto ";"serve para explicar ";NA
"18";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X18  No seguinte fragmento há um fato e uma opinião  Sublinhe o fato e circule a opinião  Darlan virou até nome de prédio residencial na cidade   Aqui  sou uma pessoa ilustre   brinca ";"sublinhado:Darlan virou ate nome de predio residencial na cidade, circular:aqui sou uma pessoa ilustre";NA
"19";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X19  Qual é o sentido das palavras em destaque ";"barreira dos medos: os medos impedindo; deslanchou:caminhou ";NA
"20";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X20  Explique o que significa  morrer de medo  neste fragmento ";"ter muito medo ";NA
"21";"2021/07/08 8:51:18 PM GMT+1";"5º ano";1;"X21   A imagem mostra o primeiro esboço de Zé Gotinha  isto é  o desenho inicial do personagem  com seus traços gerais  De onde a reportagem selecionou esse desenho ";"do criador do desenho ";NA
"22";"2021/07/08 9:00:17 PM GMT+1";"5º ano";2;"X1  Quem é Zé Gotinha ";"O mascote da vacina.";NA
"23";"2021/07/08 9:00:17 PM GMT+1";"5º ano";2;"X2  Quem é Darlan Rosa ";"Quem inventou o personagem da vacina.";NA
"24";"2021/07/08 9:00:17 PM GMT+1";"5º ano";2;"X3  Como eram as propagandas de vacina antes da criação do Zé Gotinha ";"As propagandas antes do zé gotinha eram assustadoras.";NA
"25";"2021/07/08 9:00:17 PM GMT+1";"5º ano";2;"X4  Quando o Zé Gotinha foi criado ";"1986.";NA
"26";"2021/07/08 9:00:17 PM GMT+1";"5º ano";2;"X5  Quando nasceu  Zé Gotinha era diferente do que é hoje  Descreva as características do Zé Gotinha quando nasceu  Em seguida  descreva como ele é atualmente ";"Era um boneco com duas gotinhas de pólio. Atualmente ele tem braços e pernas";NA
